town,year,exp_housing_dec_h1,exp_housing_dec_h2,exp_housing_dec_h3,exp_employment_dec_h1,exp_employment_dec_h2,exp_employment_dec_h3,exp_policy_boundary_dec_h1,exp_policy_boundary_dec_h2,exp_policy_boundary_dec_h3,exp_disaster_dec_h1,exp_disaster_dec_h2,exp_disaster_dec_h3,exp_commercial_dec_h1,exp_commercial_dec_h2,exp_commercial_dec_h3,exp_public_edu_medical_dec_h1,exp_public_edu_medical_dec_h2,exp_public_edu_medical_dec_h3,exp_transit_dec_h1,exp_transit_dec_h2,exp_transit_dec_h3,exp_rate_all_h1,exp_rate_all_h2,exp_rate_all_h3,exp_housing_inc_h1,exp_employment_inc_h1,exp_policy_boundary_inc_h1,exp_disaster_inc_h1,exp_commercial_inc_h1,exp_public_edu_medical_inc_h1,exp_transit_inc_h1,manual_people_h1,exp_housing_inc_h2,exp_employment_inc_h2,exp_policy_boundary_inc_h2,exp_disaster_inc_h2,exp_commercial_inc_h2,exp_public_edu_medical_inc_h2,exp_transit_inc_h2,manual_people_h2,exp_housing_inc_h3,exp_employment_inc_h3,exp_policy_boundary_inc_h3,exp_disaster_inc_h3,exp_commercial_inc_h3,exp_public_edu_medical_inc_h3,exp_transit_inc_h3,manual_people_h3,exp_rate_all_h1_post2022,exp_rate_all_h2_post2022,exp_rate_all_h3_post2022,exp_rate_terms,foreign_population,foreign_change,foreign_pct_change,foreign_log,foreign_ma3,era_covid,era_post2022,era_pre2013,era_post2009,era_post2013,town_trend5,pop_total,male,female,city_pop,city_growth_log,town_ma5,town_std5,foreign_population_covid,foreign_change_covid,foreign_pct_change_covid,foreign_log_covid,foreign_ma3_covid,foreign_population_post2022,foreign_change_post2022,foreign_pct_change_post2022,foreign_log_post2022,foreign_ma3_post2022,exp_all_h1,exp_all_h2,exp_all_h3,exp_rate_all_h1_pre2013,exp_rate_all_h1_post2013,exp_rate_all_h1_post2009,exp_rate_all_h1_covid,exp_all_h1_pre2013,exp_all_h1_post2013,exp_all_h1_post2009,exp_all_h1_covid,exp_all_h1_post2022,exp_rate_all_h2_pre2013,exp_rate_all_h2_post2013,exp_rate_all_h2_post2009,exp_rate_all_h2_covid,exp_all_h2_pre2013,exp_all_h2_post2013,exp_all_h2_post2009,exp_all_h2_covid,exp_all_h2_post2022,exp_rate_all_h3_pre2013,exp_rate_all_h3_post2013,exp_rate_all_h3_post2009,exp_rate_all_h3_covid,exp_all_h3_pre2013,exp_all_h3_post2013,exp_all_h3_post2009,exp_all_h3_covid,exp_all_h3_post2022,macro_delta,macro_ma3,macro_shock,macro_excl,lag_d1,lag_d2,ma2_delta,ring1_exp_housing_dec_h1,ring1_exp_housing_dec_h2,ring1_exp_housing_dec_h3,ring1_exp_employment_dec_h1,ring1_exp_employment_dec_h2,ring1_exp_employment_dec_h3,ring1_exp_policy_boundary_dec_h1,ring1_exp_policy_boundary_dec_h2,ring1_exp_policy_boundary_dec_h3,ring1_exp_disaster_dec_h1,ring1_exp_disaster_dec_h2,ring1_exp_disaster_dec_h3,ring1_exp_commercial_dec_h1,ring1_exp_commercial_dec_h2,ring1_exp_commercial_dec_h3,ring1_exp_public_edu_medical_dec_h1,ring1_exp_public_edu_medical_dec_h2,ring1_exp_public_edu_medical_dec_h3,ring1_exp_transit_dec_h1,ring1_exp_transit_dec_h2,ring1_exp_transit_dec_h3,ring1_exp_rate_all_h1,ring1_exp_rate_all_h2,ring1_exp_rate_all_h3,ring1_exp_housing_inc_h1,ring1_exp_employment_inc_h1,ring1_exp_policy_boundary_inc_h1,ring1_exp_disaster_inc_h1,ring1_exp_commercial_inc_h1,ring1_exp_public_edu_medical_inc_h1,ring1_exp_transit_inc_h1,ring1_manual_people_h1,ring1_exp_housing_inc_h2,ring1_exp_employment_inc_h2,ring1_exp_policy_boundary_inc_h2,ring1_exp_disaster_inc_h2,ring1_exp_commercial_inc_h2,ring1_exp_public_edu_medical_inc_h2,ring1_exp_transit_inc_h2,ring1_manual_people_h2,ring1_exp_housing_inc_h3,ring1_exp_employment_inc_h3,ring1_exp_policy_boundary_inc_h3,ring1_exp_disaster_inc_h3,ring1_exp_commercial_inc_h3,ring1_exp_public_edu_medical_inc_h3,ring1_exp_transit_inc_h3,ring1_manual_people_h3,ring1_exp_rate_all_h1_post2022,ring1_exp_rate_all_h2_post2022,ring1_exp_rate_all_h3_post2022,ring1_exp_rate_terms,ring1_foreign_population,ring1_foreign_change,ring1_foreign_pct_change,ring1_foreign_log,ring1_foreign_ma3,ring1_foreign_population_covid,ring1_foreign_change_covid,ring1_foreign_pct_change_covid,ring1_foreign_log_covid,ring1_foreign_ma3_covid,ring1_foreign_population_post2022,ring1_foreign_change_post2022,ring1_foreign_pct_change_post2022,ring1_foreign_log_post2022,ring1_foreign_ma3_post2022,ring1_exp_all_h1,ring1_exp_all_h2,ring1_exp_all_h3,ring1_exp_rate_all_h1_pre2013,ring1_exp_rate_all_h1_post2013,ring1_exp_rate_all_h1_post2009,ring1_exp_rate_all_h1_covid,ring1_exp_all_h1_pre2013,ring1_exp_all_h1_post2013,ring1_exp_all_h1_post2009,ring1_exp_all_h1_covid,ring1_exp_all_h1_post2022,ring1_exp_rate_all_h2_pre2013,ring1_exp_rate_all_h2_post2013,ring1_exp_rate_all_h2_post2009,ring1_exp_rate_all_h2_covid,ring1_exp_all_h2_pre2013,ring1_exp_all_h2_post2013,ring1_exp_all_h2_post2009,ring1_exp_all_h2_covid,ring1_exp_all_h2_post2022,ring1_exp_rate_all_h3_pre2013,ring1_exp_rate_all_h3_post2013,ring1_exp_rate_all_h3_post2009,ring1_exp_rate_all_h3_covid,ring1_exp_all_h3_pre2013,ring1_exp_all_h3_post2013,ring1_exp_all_h3_post2009,ring1_exp_all_h3_covid,ring1_exp_all_h3_post2022
上林町,2027,-0.04456509834019196,-0.02228254917009598,-0.01114127458504799,-0.022282549999999998,-0.011141274999999999,-0.0055706374999999995,0.0,0.0,0.0,0.019365052062118127,0.009682526031059064,0.004841263015529532,0.0,0.0,0.0,0.0,0.0,0.0,0.01636509851821686,0.00818254925910843,0.004091274629554215,,0.0,,-0.000386178659913885,0.022282549999999998,0.0,-0.02095674615069221,0.05870008307059242,0.0,-0.002487801293228103,0.0,-0.0001930893299569425,0.011141274999999999,0.0,-0.010478373075346105,0.02935004153529621,0.0,-0.0012439006466140514,0.0,-9.654466497847126e-05,0.0055706374999999995,0.0,-0.005239186537673053,0.014675020767648105,0.0,-0.0006219503233070257,0.0,,0.0,,0.0,,,,,,0,1,0,1,1,3.000000000000428,280.0,148.0,132.0,560291.0,-0.0010916914808483,-12.0,6.81909084849291,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上林町,2028,-0.04456509834019196,-0.02228254917009598,-0.01114127458504799,-0.022282549999999998,-0.011141274999999999,-0.0055706374999999995,0.0,0.0,0.0,0.019365052062118127,0.009682526031059064,0.004841263015529532,0.0,0.0,0.0,0.0,0.0,0.0,0.01636509851821686,0.00818254925910843,0.004091274629554215,,,0.0,-0.000386178659913885,0.022282549999999998,0.0,-0.02095674615069221,0.05870008307059242,0.0,-0.002487801293228103,0.0,-0.0001930893299569425,0.011141274999999999,0.0,-0.010478373075346105,0.02935004153529621,0.0,-0.0012439006466140514,0.0,-9.654466497847126e-05,0.0055706374999999995,0.0,-0.005239186537673053,0.014675020767648105,0.0,-0.0006219503233070257,0.0,,,0.0,0.0,,,,,,0,1,0,1,1,3.000000000000428,280.0,148.0,132.0,560291.0,-0.0010916914808483,-12.0,6.81909084849291,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上水前寺1丁目,2025,-0.04456509834019196,-0.02228254917009598,-0.01114127458504799,-0.022282549999999998,-0.011141274999999999,-0.0055706374999999995,0.0,0.0,0.0,0.019365052062118127,0.009682526031059064,0.004841263015529532,0.0,0.0,0.0,0.0,0.0,0.0,0.01636509851821686,0.00818254925910843,0.004091274629554215,,,,-0.000386178659913885,0.022282549999999998,0.0,-0.02095674615069221,0.05870008307059242,0.0,-0.002487801293228103,0.0,-0.0001930893299569425,0.011141274999999999,0.0,-0.010478373075346105,0.02935004153529621,0.0,-0.0012439006466140514,0.0,-9.654466497847126e-05,0.0055706374999999995,0.0,-0.005239186537673053,0.014675020767648105,0.0,-0.0006219503233070257,0.0,,,,0.0,,,,,,0,1,0,1,1,11.500000000000789,608.0,273.0,335.0,560291.0,-0.0010916914808483,-1.2,26.82722497762302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上水前寺1丁目,2026,-0.04456509834019196,-0.02228254917009598,-0.01114127458504799,-0.022282549999999998,-0.011141274999999999,-0.0055706374999999995,0.0,0.0,0.0,0.019365052062118127,0.009682526031059064,0.004841263015529532,0.0,0.0,0.0,0.0,0.0,0.0,0.01636509851821686,0.00818254925910843,0.004091274629554215,0.0,,,-0.000386178659913885,0.022282549999999998,0.0,-0.02095674615069221,0.05870008307059242,0.0,-0.002487801293228103,0.0,-0.0001930893299569425,0.011141274999999999,0.0,-0.010478373075346105,0.02935004153529621,0.0,-0.0012439006466140514,0.0,-9.654466497847126e-05,0.0055706374999999995,0.0,-0.005239186537673053,0.014675020767648105,0.0,-0.0006219503233070257,0.0,0.0,,,0.0,,,,,,0,1,0,1,1,11.500000000000789,608.0,273.0,335.0,560291.0,-0.0010916914808483,-1.2,26.82722497762302,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上水前寺1丁目,2027,-0.04456509834019196,-0.02228254917009598,-0.01114127458504799,-0.022282549999999998,-0.011141274999999999,-0.0055706374999999995,0.0,0.0,0.0,0.019365052062118127,0.009682526031059064,0.004841263015529532,0.0,0.0,0.0,0.0,0.0,0.0,0.01636509851821686,0.00818254925910843,0.004091274629554215,,0.0,,-0.000386178659913885,0.022282549999999998,0.0,-0.02095674615069221,0.05870008307059242,0.0,-0.002487801293228103,0.0,-0.0001930893299569425,0.011141274999999999,0.0,-0.010478373075346105,0.02935004153529621,0.0,-0.0012439006466140514,0.0,-9.654466497847126e-05,0.0055706374999999995,0.0,-0.005239186537673053,0.014675020767648105,0.0,-0.0006219503233070257,0.0,,0.0,,0.0,,,,,,0,1,0,1,1,11.500000000000789,608.0,273.0,335.0,560291.0,-0.0010916914808483,-1.2,26.82722497762302,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上水前寺1丁目,2028,-0.04456509834019196,-0.02228254917009598,-0.01114127458504799,-0.022282549999999998,-0.011141274999999999,-0.0055706374999999995,0.0,0.0,0.0,0.019365052062118127,0.009682526031059064,0.004841263015529532,0.0,0.0,0.0,0.0,0.0,0.0,0.01636509851821686,0.00818254925910843,0.004091274629554215,,,0.0,-0.000386178659913885,0.022282549999999998,0.0,-0.02095674615069221,0.05870008307059242,0.0,-0.002487801293228103,0.0,-0.0001930893299569425,0.011141274999999999,0.0,-0.010478373075346105,0.02935004153529621,0.0,-0.0012439006466140514,0.0,-9.654466497847126e-05,0.0055706374999999995,0.0,-0.005239186537673053,0.014675020767648105,0.0,-0.0006219503233070257,0.0,,,0.0,0.0,,,,,,0,1,0,1,1,11.500000000000789,608.0,273.0,335.0,560291.0,-0.0010916914808483,-1.2,26.82722497762302,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上水前寺2丁目,2025,-0.04456509834019196,-0.02228254917009598,-0.01114127458504799,-0.022282549999999998,-0.011141274999999999,-0.0055706374999999995,0.0,0.0,0.0,0.019365052062118127,0.009682526031059064,0.004841263015529532,0.0,0.0,0.0,0.0,0.0,0.0,0.01636509851821686,0.00818254925910843,0.004091274629554215,,,,-0.000386178659913885,0.022282549999999998,0.0,-0.02095674615069221,0.05870008307059242,0.0,-0.002487801293228103,0.0,-0.0001930893299569425,0.011141274999999999,0.0,-0.010478373075346105,0.02935004153529621,0.0,-0.0012439006466140514,0.0,-9.654466497847126e-05,0.0055706374999999995,0.0,-0.005239186537673053,0.014675020767648105,0.0,-0.0006219503233070257,0.0,,,,0.0,,,,,,0,1,0,1,1,4.999999999998813,682.0,319.0,363.0,560291.0,-0.0010916914808483,-7.8,22.027255843612103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上水前寺2丁目,2026,-0.04456509834019196,-0.02228254917009598,-0.01114127458504799,-0.022282549999999998,-0.011141274999999999,-0.0055706374999999995,0.0,0.0,0.0,0.019365052062118127,0.009682526031059064,0.004841263015529532,0.0,0.0,0.0,0.0,0.0,0.0,0.01636509851821686,0.00818254925910843,0.004091274629554215,0.0,,,-0.000386178659913885,0.022282549999999998,0.0,-0.02095674615069221,0.05870008307059242,0.0,-0.002487801293228103,0.0,-0.0001930893299569425,0.011141274999999999,0.0,-0.010478373075346105,0.02935004153529621,0.0,-0.0012439006466140514,0.0,-9.654466497847126e-05,0.0055706374999999995,0.0,-0.005239186537673053,0.014675020767648105,0.0,-0.0006219503233070257,0.0,0.0,,,0.0,,,,,,0,1,0,1,1,4.999999999998813,682.0,319.0,363.0,560291.0,-0.0010916914808483,-7.8,22.027255843612103,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上水前寺2丁目,2027,-0.04456509834019196,-0.02228254917009598,-0.01114127458504799,-0.022282549999999998,-0.011141274999999999,-0.0055706374999999995,0.0,0.0,0.0,0.019365052062118127,0.009682526031059064,0.004841263015529532,0.0,0.0,0.0,0.0,0.0,0.0,0.01636509851821686,0.00818254925910843,0.004091274629554215,,0.0,,-0.000386178659913885,0.022282549999999998,0.0,-0.02095674615069221,0.05870008307059242,0.0,-0.002487801293228103,0.0,-0.0001930893299569425,0.011141274999999999,0.0,-0.010478373075346105,0.02935004153529621,0.0,-0.0012439006466140514,0.0,-9.654466497847126e-05,0.0055706374999999995,0.0,-0.005239186537673053,0.014675020767648105,0.0,-0.0006219503233070257,0.0,,0.0,,0.0,,,,,,0,1,0,1,1,4.999999999998813,682.0,319.0,363.0,560291.0,-0.0010916914808483,-7.8,22.027255843612103,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上水前寺2丁目,2028,-0.04456509834019196,-0.02228254917009598,-0.01114127458504799,-0.022282549999999998,-0.011141274999999999,-0.0055706374999999995,0.0,0.0,0.0,0.019365052062118127,0.009682526031059064,0.004841263015529532,0.0,0.0,0.0,0.0,0.0,0.0,0.01636509851821686,0.00818254925910843,0.004091274629554215,,,0.0,-0.000386178659913885,0.022282549999999998,0.0,-0.02095674615069221,0.05870008307059242,0.0,-0.002487801293228103,0.0,-0.0001930893299569425,0.011141274999999999,0.0,-0.010478373075346105,0.02935004153529621,0.0,-0.0012439006466140514,0.0,-9.654466497847126e-05,0.0055706374999999995,0.0,-0.005239186537673053,0.014675020767648105,0.0,-0.0006219503233070257,0.0,,,0.0,0.0,,,,,,0,1,0,1,1,4.999999999998813,682.0,319.0,363.0,560291.0,-0.0010916914808483,-7.8,22.027255843612103,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
